证券代码	更新日期	总股本(万股)	国家股	发起法人股	法人股	B股	Ｈ股	流通A股	职工股	A2转配股	总资产(千元)	流动资产	固定资产	无形资产	长期投资	流动负债	长期负债	资本公积金	每股公积金	股东权益	主营收入	主营利润	其他利润	营业利润	投资收益	补贴收入	营业外收支	损益调整	利润总额	税后利润	净利润	未分配利润	每股未分配	每股收益	每股净资	调整每股净资	股东权益比率	净资收益率	经营现金流入	经营现金流出	经营现金流量	投资现金流入	投资现金流出	投资现金流量	筹资现金流入	筹资现金流出	筹资现金流量	现金及等价物	应收帐款周转率	存货周转率	股东总数	发行价	发行量	主营业务增长率	税后利润增长率	净资产增长率	总资产增长率
SZ000670	20180930	81662.734	0.000	14580.782	14580.782	0.000	0.000	59961.652	0.000	0.000	403758.500	113395.633	128719.336	40347.484	0.000	84373.063	0.000	294858.219	0.361	318715.063	103408.914	6655.032	0.000	-37088.148	0.000	0.000	-20.726	0.000	-37108.875	-37108.875	-57529.355	-285211.750	-0.349	-0.070	0.390	0.389	78.937	-16.670	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000671	20180930	405007.344	0.000	74269.273	74269.273	0.000	0.000	324136.875	0.000	0.000	264134208.000	242193952.000	3235866.500	825226.938	0.000	154490240.000	71485552.000	3546027.500	0.876	21469716.000	25939262.000	5275397.000	0.000	2731199.000	410475.375	0.000	9889.553	0.000	2741088.750	2741088.750	1581221.375	7900310.500	1.951	0.390	4.067	4.063	8.128	7.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000672	20180930	81361.984	0.000	0.000	0.000	0.000	0.000	81360.609	0.000	0.000	6832292.500	3370232.250	2250674.750	642359.938	0.000	3234314.750	402178.125	-964007.125	-1.185	3079012.000	3625083.500	1552854.500	0.000	1242661.000	12036.193	0.000	-540.666	0.000	1242120.250	1242120.250	918321.250	2939260.000	3.613	1.130	3.784	3.771	45.066	34.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000673	20180930	79155.047	0.000	0.000	0.000	0.000	0.000	78732.125	0.000	0.000	4161737.750	2810854.500	52615.273	336.003	0.000	1758173.875	80643.078	1456595.750	1.840	2248181.250	576730.563	196108.313	0.000	123619.414	28323.715	0.000	-263.862	0.000	123355.547	123355.547	97254.109	-24641.789	-0.031	0.123	2.840	2.739	54.020	4.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000676	20180930	96571.078	0.000	59593.668	59593.668	0.000	0.000	31705.789	0.000	0.000	7812692.500	4659520.000	10487.225	366540.250	0.000	2069126.125	11366.313	3501946.000	3.626	5730521.000	5647813.000	963725.000	0.000	641550.875	38214.727	0.000	518.089	0.000	642069.000	642069.000	580506.188	1123852.625	1.164	0.601	5.934	5.924	73.349	10.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000677	20180930	86397.797	0.000	0.000	0.000	0.000	0.000	86397.797	0.000	0.000	865503.750	296537.438	355257.781	82316.906	0.000	185819.438	19527.730	697688.250	0.808	275850.594	510392.531	55805.215	0.000	16882.465	220.497	0.000	-720.817	0.000	16161.649	16161.649	3385.713	-1498403.875	-1.734	0.004	0.319	0.319	31.872	1.230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000678	20180930	45961.180	0.000	3053.200	3053.200	0.000	0.000	42907.980	0.000	0.000	2788587.500	1102787.625	1180669.375	329956.219	0.000	1175530.500	314513.438	770281.000	1.676	1226587.625	1171996.875	94511.063	0.000	-15672.880	0.000	0.000	1924.436	0.000	-13748.443	-13748.443	-18915.551	-80225.820	-0.175	-0.041	2.669	2.668	43.986	-0.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000679	20180930	35640.000	0.000	0.000	0.000	0.000	0.000	35635.063	0.000	0.000	5500707.000	4476704.500	259525.141	152378.453	0.000	3559704.500	629721.875	68827.234	0.193	1192405.500	818662.250	122734.836	0.000	-163095.078	-16115.577	0.000	-577.467	0.000	-163672.531	-163672.531	-158790.438	568866.125	1.596	-0.446	3.346	3.305	21.677	-12.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000680	20180930	124078.758	0.000	0.000	0.000	0.000	0.000	105692.117	0.000	0.000	9895239.000	6371307.000	1620028.750	569183.625	0.000	4928607.000	1263331.750	1200131.000	0.967	3385440.500	6194973.000	883823.125	0.000	103558.078	99442.484	0.000	-3450.773	0.000	100107.305	100107.305	85070.656	579395.750	0.467	0.069	2.728	2.728	34.213	2.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000681	20180930	70057.742	0.000	207.452	207.452	0.000	0.000	31046.258	0.000	0.000	4279538.000	741886.875	4917.206	41835.531	0.000	775373.125	685475.375	1600354.250	2.284	2780298.750	701222.188	441724.438	0.000	264069.813	33920.086	0.000	-363.286	0.000	263706.531	263706.531	220060.125	1092159.000	1.559	0.314	3.969	3.960	64.967	8.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000682	20180930	134072.703	0.000	18585.100	18585.100	0.000	0.000	97801.711	0.000	0.000	4836006.000	3906592.750	583412.625	91890.898	0.000	1552443.875	92238.891	1204139.375	0.898	2947647.000	1842409.750	601970.250	0.000	146650.328	11414.306	0.000	-102.575	0.000	146547.750	146547.750	90933.141	384249.813	0.287	0.080	2.198	2.188	60.952	4.660	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
